 PRODUCTION/INJECTION RESULTS
   TIME   PL      QWI     PR       QOP      QWP     WC
  242.00  218.97  -25.00  200.00   16.66    0.00    0.00
  243.00  219.00  -25.00  200.00   16.65    0.00    0.00
  244.00  219.02  -25.00  200.00   16.66    0.00    0.00
  245.00  219.04  -25.00  200.00   16.67    0.00    0.00
  246.00  219.05  -25.00  200.00   16.67    0.00    0.00
  247.00  219.08  -25.00  200.00   16.66    0.00    0.00
  248.00  219.10  -25.00  200.00   16.66    0.00    0.00
  249.00  219.14  -25.00  200.00   16.65    0.00    0.00
  250.00  219.16  -25.00  200.00   16.66    0.00    0.00
  251.00  219.17  -25.00  200.00   16.67    0.00    0.00
  252.00  219.18  -25.00  200.00   16.67    0.00    0.00
  253.00  219.22  -25.00  200.00   16.65    0.00    0.00
  254.00  219.25  -25.00  200.00   16.66    0.00    0.00
  255.00  219.28  -25.00  200.00   16.66    0.00    0.00
  256.00  219.30  -25.00  200.00   16.66    0.00    0.00
  257.00  219.30  -25.00  200.00   16.67    0.00    0.00
  258.00  219.32  -25.00  200.00   16.66    0.00    0.00
  259.00  219.36  -25.00  200.00   16.65    0.00    0.00
  260.00  219.39  -25.00  200.00   16.65    0.00    0.00
  261.00  219.41  -25.00  200.00   16.66    0.00    0.00
  262.00  219.43  -25.00  200.00   16.66    0.00    0.00
  263.00  219.44  -25.00  200.00   16.67    0.00    0.00
  264.00  219.46  -25.00  200.00   16.66    0.00    0.00
  265.00  219.49  -25.00  200.00   16.65    0.00    0.00
  266.00  219.53  -25.00  200.00   16.65    0.00    0.00
  267.00  219.55  -25.00  200.00   16.66    0.00    0.00
  268.00  219.56  -25.00  200.00   16.67    0.00    0.00
  269.00  219.57  -25.00  200.00   16.67    0.00    0.00
  270.00  219.61  -25.00  200.00   16.65    0.00    0.00
  271.00  219.63  -25.00  200.00   16.65    0.00    0.00
  272.00  219.66  -25.00  200.00   16.65    0.00    0.00
  273.00  219.69  -25.00  200.00   16.66    0.00    0.00
  274.00  219.70  -25.00  200.00   16.67    0.00    0.00
  275.00  219.71  -25.00  200.00   16.66    0.00    0.00
  276.00  219.75  -25.00  200.00   16.65    0.00    0.00
  277.00  219.78  -25.00  200.00   16.65    0.00    0.00
  278.00  219.80  -25.00  200.00   16.65    0.00    0.00
  279.00  219.82  -25.00  200.00   16.66    0.00    0.00
  280.00  219.83  -25.00  200.00   16.67    0.00    0.00
  281.00  219.85  -25.00  200.00   16.66    0.00    0.00
  282.00  219.88  -25.00  200.00   16.65    0.00    0.00
  283.00  219.92  -25.00  200.00   16.65    0.00    0.00
  284.00  219.94  -25.00  200.00   16.65    0.00    0.00
  285.00  219.96  -25.00  200.00   16.66    0.00    0.00
  286.00  219.97  -25.00  200.00   16.67    0.00    0.00
  287.00  219.99  -25.00  200.00   16.65    0.00    0.00
  288.00  220.02  -25.00  200.00   16.65    0.00    0.00
  289.00  220.05  -25.00  200.00   16.65    0.00    0.00
  290.00  220.08  -25.00  200.00   16.66    0.00    0.00
  291.00  220.09  -25.00  200.00   16.67    0.00    0.00
  292.00  220.10  -25.00  200.00   16.66    0.00    0.00
  293.00  220.14  -25.00  200.00   16.65    0.00    0.00
  294.00  220.16  -25.00  200.00   16.65    0.00    0.00
  295.00  220.19  -25.00  200.00   16.65    0.00    0.00
  296.00  220.21  -25.00  200.00   16.66    0.00    0.00
  297.00  220.22  -25.00  200.00   16.67    0.00    0.00
  298.00  220.24  -25.00  200.00   16.66    0.00    0.00
  299.00  220.27  -25.00  200.00   16.65    0.00    0.00
  300.00  220.30  -25.00  200.00   16.65    0.00    0.00
  301.00  220.33  -25.00  200.00   16.65    0.00    0.00
  302.00  220.35  -25.00  200.00   16.66    0.00    0.00
  303.00  220.36  -25.00  200.00   16.67    0.00    0.00
  304.00  220.38  -25.00  200.00   16.65    0.00    0.00
  305.00  220.41  -25.00  200.00   16.65    0.00    0.00
  306.00  220.44  -25.00  200.00   16.64    0.00    0.00
  307.00  220.47  -25.00  200.00   16.65    0.00    0.00
  308.00  220.48  -25.00  200.00   16.66    0.00    0.00
  309.00  220.49  -25.00  200.00   16.66    0.00    0.00
  310.00  220.52  -25.00  200.00   16.65    0.00    0.00
  311.00  220.55  -25.00  200.00   16.65    0.00    0.00
  312.00  220.58  -25.00  200.00   16.65    0.00    0.00
  313.00  220.60  -25.00  200.00   16.65    0.00    0.00
  314.00  220.61  -25.00  200.00   16.66    0.00    0.00
  315.00  220.63  -25.00  200.00   16.66    0.00    0.00
  316.00  220.66  -25.00  200.00   16.64    0.00    0.00
  317.00  220.69  -25.00  200.00   16.65    0.00    0.00
  318.00  220.72  -25.00  200.00   16.65    0.00    0.00
  319.00  220.74  -25.00  200.00   16.65    0.00    0.00
  320.00  220.75  -25.00  200.00   16.67    0.00    0.00
  321.00  220.77  -25.00  200.00   16.66    0.00    0.00
  322.00  220.80  -25.00  200.00   16.65    0.00    0.00
  323.00  220.83  -25.00  200.00   16.64    0.00    0.00
  324.00  220.86  -25.00  200.00   16.65    0.00    0.00
  325.00  220.87  -25.00  200.00   16.66    0.00    0.00
  326.00  220.88  -25.00  200.00   16.66    0.00    0.00
  327.00  220.91  -25.00  200.00   16.65    0.00    0.00
  328.00  220.94  -25.00  200.00   16.65    0.00    0.00
  329.00  220.97  -25.00  200.00   16.64    0.00    0.00
  330.00  220.99  -25.00  200.00   16.65    0.00    0.00
  331.00  221.01  -25.00  200.00   16.66    0.00    0.00
  332.00  221.02  -25.00  200.00   16.66    0.00    0.00
  333.00  221.05  -25.00  200.00   16.64    0.00    0.00
  334.00  221.08  -25.00  200.00   16.65    0.00    0.00
  335.00  221.11  -25.00  200.00   16.64    0.00    0.00
  336.00  221.13  -25.00  200.00   16.65    0.00    0.00
  337.00  221.14  -25.00  200.00   16.66    0.00    0.00
  338.00  221.16  -25.00  200.00   16.66    0.00    0.00
  339.00  221.19  -25.00  200.00   16.64    0.00    0.00
  340.00  221.22  -25.00  200.00   16.64    0.00    0.00
  341.00  221.25  -25.00  200.00   16.65    0.00    0.00
  342.00  221.27  -25.00  200.00   16.65    0.00    0.00
  343.00  221.28  -25.00  200.00   16.66    0.00    0.00
  344.00  221.30  -25.00  200.00   16.65    0.00    0.00
  345.00  221.33  -25.00  200.00   16.64    0.00    0.00
  346.00  221.36  -25.00  200.00   16.64    0.00    0.00
  347.00  221.38  -25.00  200.00   16.65    0.00    0.00
  348.00  221.40  -25.00  200.00   16.66    0.00    0.00
  349.00  221.41  -25.00  200.00   16.66    0.00    0.00
  350.00  221.44  -25.00  200.00   16.64    0.00    0.00
  351.00  221.47  -25.00  200.00   16.64    0.00    0.00
  352.00  221.50  -25.00  200.00   16.64    0.00    0.00
  353.00  221.52  -25.00  200.00   16.65    0.00    0.00
  354.00  221.53  -25.00  200.00   16.66    0.00    0.00
  355.00  221.55  -25.00  200.00   16.66    0.00    0.00
  356.00  221.58  -25.00  200.00   16.64    0.00    0.00
