TIME,FGOR,FGPR,FGPT,FOPR,FOPT,FWCT,
7214.00,126.788,62458.9,1.7467e+09,492.623,1.60378e+07,0.560408,
7244.00,129.275,59642.7,1.74853e+09,461.365,1.60517e+07,0.223343,
7275.00,122.379,57680,1.75037e+09,471.324,1.60665e+07,0.253877,
7305.00,123.513,59291.1,1.75218e+09,480.04,1.60812e+07,0.294639,
7336.00,124.046,52395.9,1.75383e+09,422.391,1.60945e+07,0.332167,
7367.00,151.656,64839.4,1.75578e+09,427.542,1.61085e+07,0.38782,
7395.00,142.22,52496.9,1.75725e+09,369.124,1.6119e+07,0.407123,
7426.00,118.687,39747,1.75854e+09,334.889,1.61296e+07,0.438588,
7456.00,114.981,42345.5,1.75981e+09,368.281,1.61406e+07,0.705638,
7487.00,110.346,40642.6,1.76098e+09,368.32,1.61512e+07,0.772238,
7517.00,111.33,79870.9,1.76326e+09,717.428,1.61713e+07,0.752427,
7548.00,122.684,129853,1.76753e+09,1058.44,1.62042e+07,0.740661,
7579.00,136.684,137683,1.77132e+09,1007.31,1.62359e+07,0.745741,
7609.00,117.246,89479.7,1.77405e+09,763.18,1.62589e+07,0.727114,
7640.00,124.934,95378.9,1.77711e+09,763.434,1.62824e+07,0.702801,
7670.00,126.51,97841.1,1.78012e+09,773.385,1.63055e+07,0.691993,
7701.00,120.985,86295.4,1.7828e+09,713.276,1.63277e+07,0.691301,
7702.00,133.363,90645.3,1.78289e+09,679.688,1.63284e+07,0.667095,
7703.00,135.42,91620.5,1.78298e+09,676.564,1.63291e+07,0.667943,
7732.00,123.314,82763.7,1.78544e+09,671.16,1.63487e+07,0.675912,
7761.00,127.58,101195,1.78844e+09,793.188,1.63715e+07,0.691264,
7792.00,125.068,69244.2,1.79069e+09,553.652,1.6389e+07,0.609323,
7822.00,129.179,81168.5,1.79321e+09,628.343,1.6408e+07,0.670122,
7853.00,121.938,76684.8,1.79559e+09,628.884,1.64276e+07,0.687322,
7883.00,91.4058,4509.18,1.79585e+09,49.3314,1.64302e+07,0.905572,
7914.00,99.3425,53709.3,1.7975e+09,540.647,1.64469e+07,0.685857,
7945.00,103.58,72880,1.79971e+09,703.613,1.64685e+07,0.712604,
7975.00,106.194,66418.6,1.80172e+09,625.448,1.64876e+07,0.703506,
8006.00,108.32,52078.1,1.80336e+09,480.779,1.65027e+07,0.686596,
8036.00,114.422,58167.2,1.80516e+09,508.356,1.65182e+07,0.699454,
8067.00,109.776,48741.8,1.8067e+09,444.012,1.65321e+07,0.702534,
8098.00,112.702,51218.6,1.80835e+09,454.459,1.65465e+07,0.716703,
8126.00,109.074,44256.3,1.80961e+09,405.746,1.6558e+07,0.727187,
8157.00,108.532,32354.6,1.81062e+09,298.113,1.65674e+07,0.733137,
8187.00,109.269,35782.4,1.81174e+09,327.469,1.65776e+07,0.730245,
8218.00,118.609,45817.7,1.81319e+09,386.292,1.65901e+07,0.760966,
8248.00,127.158,51452.8,1.81489e+09,404.638,1.66025e+07,0.771589,
8279.00,124.18,49965,1.81645e+09,402.359,1.66151e+07,0.796275,
8310.00,124.706,50276.1,1.818e+09,403.156,1.66276e+07,0.798451,
8340.00,106.983,36087.4,1.81905e+09,337.318,1.66375e+07,0.796483,
8343.00,108.992,31305.5,1.81915e+09,287.228,1.66383e+07,0.786286,
8353.00,108.676,30816.9,1.81946e+09,283.568,1.66412e+07,0.789226,
8371.00,108.391,30129.8,1.82e+09,277.973,1.66462e+07,0.793673,
8401.00,132.208,43142.5,1.82134e+09,326.322,1.66563e+07,0.802567,
8432.00,136.606,46306.9,1.82287e+09,338.982,1.66669e+07,0.80993,
8463.00,140.222,49512.3,1.82448e+09,353.099,1.66779e+07,0.815153,
8490.00,145.178,53509.9,1.82599e+09,368.582,1.66878e+07,0.818538,
